Id,all_n,code_n,chain_n,polypeptid_n,four_n,go_n,ribosom_n,send_n,to_n,interphas_n,those_n,leav_n,sent_n,unzip_n,lysosom_n,strand_n,direct_n,second_n,pass_n,acid_n,what_n,transcrib_n,cell_n,new_n,genet_n,bodi_n,along_n,becom_n,half_n,endoplasm_n,healthi_n,chang_n,brought_n,releas_n,sugar_n,from_n,would_n,two_n,next_n,readi_n,call_n,taken_n,type_n,until_n,more_n,it_n,must_n,reproduct_n,join_n,work_n,can_n,meet_n,give_n,process_n,in_n,protein_n,end_n,turn_n,anoth_n,travel_n,occur_n,how_n,fourth_n,product_n,after_n,blood_n,nucleotid_n,a_n,third_n,bind_n,divid_n,correspond_n,or_n,inform_n,so_n,enter_n,prophas_n,order_n,help_n,over_n,move_n,becaus_n,through_n,anaphas_n,its_n,then_n,them_n,return_n,thei_n,trna_n,break_n,not_n,now_n,organ_n,oxygen_n,separ_n,mrna_n,each_n,side_n,bond_n,continu_n,connect_n,energi_n,er_n,goe_n,meiosi_n,correct_n,differ_n,base_n,put_n,g_n,keep_n,thing_n,place_n,atp_n,nucleolu_n,onto_n,first_n,major_n,dont_n,carri_n,onc_n,instruct_n,done_n,membran_n,telophas_n,long_n,attach_n,messag_n,their_n,final_n,store_n,that_n,copi_n,part_n,than_n,were_n,and_n,function_n,cytoplasm_n,packag_n,have_n,deliv_n,need_n,messeng_n,also_n,chromosom_n,build_n,which_n,metaphas_n,combin_n,begin_n,reach_n,reticulum_n,letter_n,pair_n,transcript_n,everyth_n,synthesi_n,gather_n,doe_n,apparatu_n,opposit_n,bring_n,rough_n,find_n,involv_n,do_n,get_n,stop_n,brain_n,synthes_n,contain_n,where_n,set_n,nuclear_n,segment_n,between_n,awai_n,wa_n,cycl_n,job_n,complementari_n,come_n,last_n,s_n,mani_n,codon_n,arriv_n,anti_n,throughout_n,amino_n,three_n,been_n,protect_n,togeth_n,replic_n,these_n,will_n,while_n,is_n,site_n,itself_n,mutat_n,make_n,anticodon_n,food_n,decod_n,split_n,complet_n,finish_n,organel_n,off_n,i_n,well_n,thi_n,the_n,just_n,mitosi_n,golgi_n,match_n,take_n,around_n,read_n,rna_n,molecul_n,know_n,apart_n,rrna_n,specif_n,signal_n,collect_n,t_n,right_n,some_n,back_n,nucleic_n,repeat_n,transport_n,for_n,exit_n,duplic_n,reproduc_n,be_n,step_n,dna_n,by_n,on_n,of_n,materi_n,stand_n,produc_n,into_n,lastli_n,down_n,your_n,wai_n,transfer_n,there_n,transform_n,start_n,head_n,form_n,but_n,link_n,translat_n,line_n,ha_n,with_n,made_n,happen_n,up_n,us_n,tell_n,ad_n,creat_n,certain_n,an_n,as_n,ar_n,at_n,assembl_n,again_n,when_n,other_n,you_n,out_n,sequenc_n,enzym_n,receiv_n,peptid_n,nucleu_n,mitochondria_n,time_n
10967,0.0,0.0,0.0,0.0,0.0,0.0,0.181291073464,0.0,0.120514942051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249649290139,0.0,0.0,0.0,0.0,0.136823038683,0.0,0.0,0.0,0.209015256859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260468052037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108175540241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117888188123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296115877438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161732496109,0.242161320396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17066932023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119984337628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196881451513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.210530375092,0.0,0.0,0.311737777598,0.0,0.0,0.273243653406,0.0,0.0,0.238830528241,0.154147003568,0.244899643354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0738859338324,0.0,0.0,0.0,0.0,0.179761842126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200417417859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191114654113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387606427759,0.0,0.0,0.0,0.0,0.248528979223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0673592727428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108241498299,0.0,0.193996246355,0.0,0.100894421331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468244069123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153476544099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245133803884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117438978682,0.0,0.0,0.0,0.0,0.0,0.0,0.151227212945,0.0,0.0,0.0,0.0,0.0,0.0,0.181953472496,0.149090396469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10969,0.0,0.0,0.360450087406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122090817914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303706925296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276322848965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0994795858333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374642471959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278718118482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354666255823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10970,0.0,0.0,0.0,0.0,0.0,0.0,0.143664685613,0.0,0.134761066539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156268576267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0955001381341,0.0,0.0,0.0,0.215495846498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272719528856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178677045802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107053869771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205191795663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191901505669,0.0,0.0,0.0,0.0964475346619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265188535873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346422376741,0.119124263093,0.0,0.0,0.0,0.144464418963,0.0,0.0,0.0,0.0,0.0,0.0,0.407804281191,0.0,0.0,0.0,0.0,0.127592559903,0.0,0.0,0.0,0.0,0.0,0.0,0.243738112796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187843970597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19225210107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232583911479,0.0,0.0,0.0,0.0,0.0,0.0,0.116724789668,0.260527810513,0.0
10971,0.0,0.0,0.0,0.0,0.0,0.158865234099,0.109364091736,0.0,0.0640339641257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141504125726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187445698487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188097066187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217208950432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251009140032,0.0,0.0,0.0,0.0,0.0,0.084901372739,0.0,0.0,0.0,0.127447274253,0.0,0.0,0.0,0.0,0.0,0.0,0.0626382743968,0.0,0.0,0.192931093724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218450944873,0.0,0.0,0.0,0.0,0.202721021681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126935450524,0.0,0.0,0.0,0.0,0.0955219465852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244829132728,0.0,0.0,0.1861696726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181388860111,0.206329032242,0.0,0.0,0.140806205605,0.0,0.0,0.0,0.142443549347,0.225212365997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0906828061566,0.0,0.0,0.0,0.0,0.0,0.0,0.218450944873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099739963802,0.0,0.0,0.0,0.179715433449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142995372487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153888400327,0.0,0.0,0.0,0.0,0.0,0.128006119089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217208950432,0.0,0.0,0.0
10972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164851399235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417389392078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218573225695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614287169445,0.309086228773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131393233251,0.0,0.0,0.510576783113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074267094228,0.0,0.30585578864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156705809251,0.0,0.0,0.188037817423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174668547664,0.0,0.0,0.0,0.159717479232,0.103826026245,0.0,0.0,0.167679803356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182237956042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223762996915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147220731899,0.0,0.183076707886,0.0,0.0,0.0851533814123,0.220279418963,0.0,0.0,0.0,0.0,0.0,0.180609637373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122460602926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161699749023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839477251639,0.0,0.0,0.0,0.0,0.134998766074,0.0,0.0,0.144429688525,0.0,0.0,0.0,0.0,0.0,0.0,0.309858701676,0.0,0.0,0.0,0.0,0.0,0.0,0.171345430241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149128005929,0.0,0.138672995666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147658231055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0792111936757,0.0,0.0
10974,0.0,0.337480679002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20484350217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105240235998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25337354352,0.0,0.198861517398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206203425944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.210308494965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118364812621,0.0,0.0,0.0,0.0,0.0,0.0,0.268597061883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278714153431,0.0,0.0,0.0,0.239195769073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0919823014817,0.0,0.0,0.0,0.0,0.0,0.0,0.135341003073,0.0,0.0,0.0,0.105769275384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07831734709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166511126013,0.153462620981,0.0706978911744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274816473671,0.124400146006,0.0,0.0,0.0,0.0,0.0,0.155178442375,0.0,0.0,0.0,0.240299531526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0825643275932,0.0,0.0,0.0,0.0839058304726,0.0,0.0,0.0,0.0,0.0,0.0,0.0792510145295,0.208906852549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184213485476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184828164879,0.0,0.0,0.0,0.0,0.0,0.169731064734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273285901136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181045056641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259809716624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106471460957,0.219013037885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130262327641,0.0,0.0,0.0,0.139139572429,0.0,0.0,0.0,0.0,0.207788522587,0.0,0.0,0.0,0.0,0.0,0.0,0.0882545664593,0.0,0.0,0.0,0.0,0.147268139696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116459856729,0.0,0.0,0.133242281786,0.0,0.0,0.0,0.118412964697,0.0,0.0,0.0,0.0,0.0,0.167407988236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161955528014,0.0,0.0,0.203719047012,0.161078161162,0.0,0.0,0.0,0.0,0.176951556868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156582897928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10976,0.0,0.0,0.0,0.0,0.0,0.0,0.199385062103,0.0,0.116742302809,0.0,0.0,0.171448699969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21696420149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345351662627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157301285424,0.0,0.0,0.0,0.0,0.0,0.0,0.114197777647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.407978911616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284072598721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133854729896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340566908769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282885070096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.454853350476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137443676946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161996522233,0.0,0.0
