Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
19953,0,0,1,0,0,1,1,0,0,1,0,0,0,0,4
19954,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
19955,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19956,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
19957,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
19958,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
19959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19960,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
19961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
19962,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
19963,1,0,1,0,0,0,0,0,0,1,0,1,0,0,4
19964,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
19965,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3
19966,1,1,1,0,0,1,1,1,0,1,1,0,1,0,9
19967,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3
19968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19969,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
19970,0,0,1,0,0,0,1,1,0,1,1,0,1,0,6
19971,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3
19972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19973,1,0,1,0,0,1,0,1,0,0,1,0,1,0,6
19974,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19975,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
19976,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3
19977,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4
19978,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
19979,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3
19980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19982,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19983,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
19984,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3
19985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19988,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
19989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19991,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
19992,1,0,0,0,0,1,0,1,1,1,0,0,0,0,5
19993,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
19994,0,0,0,0,0,1,1,0,0,1,0,0,1,0,4
19995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19998,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3
19999,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
20000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
20001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20002,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3
20003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20004,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
20005,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3
20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20008,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4
20009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
20010,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
20011,1,0,1,1,0,0,0,0,0,1,0,0,0,1,5
20012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20014,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
20015,1,1,1,0,0,1,0,0,0,1,0,0,0,0,5
20016,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
20017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20019,1,0,0,1,1,1,0,0,0,1,0,0,0,0,5
20020,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3
20021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20023,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
20024,1,0,1,0,0,1,0,0,0,0,0,0,1,0,4
20025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20027,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
20028,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3
20029,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3
20030,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3
20031,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
20032,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
20033,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20035,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20036,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20037,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
20039,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
20040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20042,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20043,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3
20044,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
